fas_id,course_code,course_title,department,professor,semester,year,term,rating,rating_fas_mean,materials_rating,assignments_rating,feedback_rating,section_rating,instructor_rating,lectures_effective,instructor_accessible,generates_enthusiasm,facilitates_discussion,recommendation_rating,hours_per_week,num_students
000187,MUSIC 187R,Opera Workshop STO,MUSIC,Aucoin,2024Spring,2024,Spring,4.9,4.25,4.78,4.56,4.89,5.0,5.0,4.78,4.89,5.0,5.0,5.0,5.89,15
000188,MUSIC 188R,Music Makers of Asian America LEC,MUSIC,Iyer,2022Fall,2022,Fall,4.86,4.2,4.71,4.71,4.43,4.43,5.0,4.67,4.67,5.0,5.0,4.86,2.86,13
000188,MUSIC 188R,Composer-Performers of the African Diaspora LEC,MUSIC,Terry,2023Fall,2023,Fall,4.7,4.21,4.5,4.5,3.38,4.4,4.75,4.63,4.14,4.75,5.0,4.5,3.38,19
000188,MUSIC 188R,Composer-Performers of the African Diaspora LEC,MUSIC,Iyer,2023Fall,2023,Fall,4.7,4.21,4.5,4.5,3.38,4.4,4.88,4.88,4.14,5.0,5.0,4.5,3.38,19
000291,MUSIC 291R,Music and Migration SEM,MUSIC,van_Orden,2023Spring,2023,Spring,5.0,4.22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.25,5.0,9.0,10
000291,MUSIC 291R,Music and Migration SEM,MUSIC,Kafadar,2023Spring,2023,Spring,5.0,4.22,5.0,5.0,5.0,5.0,4.83,4.83,4.5,5.0,5.0,5.0,9.0,10
000291,MUSIC 291R,Music and Migration SEM,MUSIC,Shelemay,2023Spring,2023,Spring,5.0,4.22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,10
107340,FRSEMR 26F,Dreams: Our Mind by Night 001,FRSEMR,Barrett,2022Fall,2022,Fall,3.9,4.2,4.1,4.67,4.33,5.0,3.9,3.88,4.4,4.3,3.7,4.0,1.7,13
107341,GENED 1076,Equity and Excellence in K12 American Schools 001,GENED,Merseth,2022Fall,2022,Fall,4.55,4.2,4.33,4.05,3.73,4.2,4.84,4.72,4.73,4.98,4.91,4.6,5.04,73
107349,MODMDEST 100,"The Modern Middle East, Real and Imagined: An Introduction 001",MODMDEST,Zeghal,2023Fall,2023,Fall,4.07,4.21,4.27,4.2,4.33,4.47,4.57,4.43,4.38,4.5,4.23,4.13,6.4,17
107349,MODMDEST 100,"The Modern Middle East, Real and Imagined: An Introduction 001",MODMDEST,Zeghal,2025Spring,2025,Spring,4.75,4.26,4.75,4.5,4.75,5.0,5.0,5.0,5.0,5.0,5.0,4.75,7.0,9
107368,PHYSCI 11,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective 001,PHYSCI,Tucci,2023Spring,2023,Spring,3.57,4.22,3.71,3.76,3.86,4.23,4.74,4.74,4.55,4.7,4.61,3.54,7.96,397
107368,PHYSCI 11,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective 001,PHYSCI,Anderson,2023Spring,2023,Spring,3.57,4.22,3.71,3.76,3.86,4.23,3.58,2.83,3.78,3.8,3.75,3.54,7.96,397
107368,PHYSCI 11,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective LEC,PHYSCI,Wang,2024Spring,2024,Spring,3.05,4.25,3.39,3.38,3.53,4.1,4.6,4.72,4.34,4.47,4.51,3.17,8.04,345
107368,PHYSCI 11,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective LEC,PHYSCI,Keutsch,2024Spring,2024,Spring,3.05,4.25,3.39,3.38,3.53,4.1,3.09,2.58,3.68,3.54,3.59,3.17,8.04,345
107368,PHYSCI 11,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective LEC,PHYSCI,Tucci,2024Spring,2024,Spring,3.05,4.25,3.39,3.38,3.53,4.1,4.65,4.58,4.3,4.7,4.5,3.17,8.04,345
107368,PHYSCI 11,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective LEC,PHYSCI,Wang,2025Spring,2025,Spring,3.48,4.26,3.51,3.67,3.74,4.14,4.64,4.57,4.5,4.33,4.38,3.52,8.58,338
107368,PHYSCI 11,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective LEC,PHYSCI,Keutsch,2025Spring,2025,Spring,3.48,4.26,3.51,3.67,3.74,4.14,3.43,3.04,3.69,3.83,3.82,3.52,8.58,338
107368,PHYSCI 11,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective LEC,PHYSCI,Spiewak,2025Spring,2025,Spring,3.48,4.26,3.51,3.67,3.74,4.14,4.83,4.73,4.55,4.83,4.68,3.52,8.58,338
107368,PHYSCI 11,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective LEC,PHYSCI,Tucci,2025Spring,2025,Spring,3.48,4.26,3.51,3.67,3.74,4.14,4.63,4.5,4.6,4.71,4.62,3.52,8.58,338
107378,SAS 100R,"South Asian Language Tutorials, Introductory Level 004",SAS,Patil,2022Fall,2022,Fall,5.0,4.2,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.2,6
107388,ECON 1936,Keynes 001,ECON,Marglin,2023Fall,2023,Fall,4.73,4.21,4.55,5.0,4.82,4.67,4.73,4.45,4.91,4.82,4.91,4.73,4.27,16
107388,ECON 1936,Keynes 001,ECON,Marglin,2024Fall,2024,Fall,4.31,4.24,4.13,4.47,3.73,3.77,4.67,4.33,4.8,4.93,4.87,4.13,6.71,26
107400,CELLBIO 306QC,Teaching 100: The Theory and Science of Teaching 001,CELLBIO,Tan,2022Fall,2022,Fall,4.78,4.2,4.83,4.33,4.56,4.67,4.94,4.94,5.0,4.94,4.88,4.83,5.71,26
107400,CELLBIO 306QC,Teaching 100: The Theory and Science of Teaching 001,CELLBIO,Tan,2023Fall,2023,Fall,4.67,4.21,4.67,4.78,4.33,4.5,4.78,4.78,4.75,4.89,4.89,4.78,5.22,15
107400,CELLBIO 306QC,Teaching 100: The Theory and Science of Teaching 001,CELLBIO,Tan,2024Fall,2024,Fall,4.8,4.24,4.6,4.1,4.6,4.71,4.9,4.89,4.75,4.89,5.0,4.6,4.22,20
107425,ECON 1450,The Political Economy of Religion 001,ECON,Barro,2023Spring,2023,Spring,4.88,4.22,4.63,5.0,5.0,4.71,5.0,4.6,4.6,4.8,4.8,4.88,7.43,10
107425,ECON 1450,The Political Economy of Religion 001,ECON,McCleary,2023Spring,2023,Spring,4.88,4.22,4.63,5.0,5.0,4.71,4.86,4.57,4.86,5.0,5.0,4.88,7.43,10
107425,ECON 1450,The Political Economy of Religion 001,ECON,McCleary,2024Spring,2024,Spring,3.83,4.25,4.0,3.94,3.81,4.06,4.6,4.4,4.4,4.47,4.33,3.76,5.88,25
107425,ECON 1450,The Political Economy of Religion 001,ECON,Barro,2024Spring,2024,Spring,3.83,4.25,4.0,3.94,3.81,4.06,3.92,3.62,3.77,3.69,4.0,3.76,5.88,25
107425,ECON 1450,The Political Economy of Religion 001,ECON,McCleary,2025Spring,2025,Spring,3.86,4.26,4.07,4.0,4.21,4.83,4.58,4.36,4.73,4.55,4.3,3.75,6.14,19
107425,ECON 1450,The Political Economy of Religion 001,ECON,Barro,2025Spring,2025,Spring,3.86,4.26,4.07,4.0,4.21,4.83,4.3,3.7,4.67,4.3,4.11,3.75,6.14,19
107464,GENED 1011,Contemporary Developing Countries: Entrepreneurial Solutions to Intractable Problems 001,GENED,Balsari,2022Fall,2022,Fall,4.18,4.2,4.08,4.04,3.85,4.32,4.74,4.74,4.26,4.83,4.67,3.98,5.65,69
107464,GENED 1011,Contemporary Developing Countries: Entrepreneurial Solutions to Intractable Problems 001,GENED,Khanna,2022Fall,2022,Fall,4.18,4.2,4.08,4.04,3.85,4.32,4.81,4.7,4.4,4.81,4.67,3.98,5.65,69
107464,GENED 1011,Contemporary Developing Countries: Entrepreneurial Solutions to Intractable Problems 001,GENED,Balsari,2023Fall,2023,Fall,3.28,4.21,3.94,2.83,2.06,3.89,4.53,4.59,4.09,4.41,4.47,3.16,5.42,97
107464,GENED 1011,Contemporary Developing Countries: Entrepreneurial Solutions to Intractable Problems 001,GENED,Khanna,2023Fall,2023,Fall,3.28,4.21,3.94,2.83,2.06,3.89,4.03,4.03,3.58,3.92,3.96,3.16,5.42,97
107602,PSY 1503,Psychology of Close Relationships 001,PSY,Parker,2023Spring,2023,Spring,4.6,4.22,4.54,4.72,4.64,4.56,4.76,4.65,4.68,4.84,4.62,4.68,2.49,201
107619,HISTSCI 1885,Communicating Science 001,HISTSCI,Csiszar,2023Fall,2023,Fall,4.92,4.21,4.92,4.83,4.83,5.0,4.92,5.0,5.0,5.0,4.91,4.92,5.17,14
107669,GENED 1033,Conflict Resolution in a Divided World 001,GENED,Shapiro,2022Fall,2022,Fall,4.61,4.2,4.44,4.37,4.6,4.76,4.87,4.88,4.81,4.98,4.93,4.64,3.82,73
107675,ECON 980W,Economic Aspects of Health Policy 001,ECON,Pakes,2023Spring,2023,Spring,5.0,4.22,4.6,4.4,5.0,5.0,5.0,4.67,4.67,4.67,5.0,4.8,6.2,5
107675,ECON 980W,Economic Aspects of Health Policy 001,ECON,Pakes,2023Fall,2023,Fall,4.36,4.21,4.36,4.4,4.7,3.5,4.0,3.57,4.5,4.0,4.5,4.27,4.45,14
107702,CHEM 171,Biological Synthesis 1,CHEM,Balskus,2024Spring,2024,Spring,4.21,4.25,4.29,4.0,4.0,3.29,4.57,4.57,4.38,4.77,4.22,4.21,8.0,17
107702,CHEM 171,Biological Synthesis LEC,CHEM,Balskus,2025Spring,2025,Spring,4.33,4.26,4.17,3.92,4.08,3.71,4.83,4.72,4.89,4.83,4.85,4.3,8.67,32
107706,PSY 2410R,Laboratory Research on Emotional Disorders 001,PSY,McNally,2022Fall,2022,Fall,5.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,9
107706,PSY 2410R,Laboratory Research on Emotional Disorders 001,PSY,McNally,2024Fall,2024,Fall,5.0,4.24,4.5,4.8,4.8,5.0,4.83,5.0,4.83,5.0,5.0,4.67,3.8,8
107706,PSY 2410R,Laboratory Research on Emotional Disorders 001,PSY,McNally,2025Spring,2025,Spring,4.4,4.26,4.67,4.33,5.0,5.0,4.6,4.8,4.6,4.8,5.0,4.25,2.0,9
107709,CHEM 255,Practical Crystallography in Chemistry and Materials Science LEC,CHEM,Zheng,2024Spring,2024,Spring,4.0,4.25,4.6,3.5,3.5,4.6,4.0,3.9,4.7,4.6,4.44,3.7,7.67,13
107709,CHEM 255,Practical Crystallography in Chemistry and Materials Science LEC,CHEM,Zheng,2025Spring,2025,Spring,3.2,4.26,4.2,2.6,3.6,4.5,3.2,3.2,4.4,3.6,3.4,3.4,6.4,8
107755,NEUROBIO 230,Visual Recognition: Computational and biophysical perspective 001,NEUROBIO,Kreiman,2023Fall,2023,Fall,4.2,4.21,3.8,3.8,4.0,3.67,4.0,4.0,3.6,4.2,3.6,4.4,4.8,7
107770,GOV 3005A,Research Workshop in International Relations 001,GOV,Tingley,2022Fall,2022,Fall,5.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,0,4.0,4.0,5.0,0.0,16
107770,GOV 3005A,Research Workshop in International Relations 001,GOV,Chaudoin,2022Fall,2022,Fall,5.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,4.67,5.0,0.0,16
107770,GOV 3005A,Research Workshop in International Relations 001,GOV,Mikulaschek,2023Fall,2023,Fall,4.33,4.21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,2.0,17
107770,GOV 3005A,Research Workshop in International Relations 001,GOV,Davis,2023Fall,2023,Fall,4.33,4.21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,2.0,17
107770,GOV 3005A,Research Workshop in International Relations 001,GOV,Kertzer,2024Fall,2024,Fall,5.0,4.24,4.67,5.0,4.67,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,17
107770,GOV 3005A,Research Workshop in International Relations 001,GOV,Chaudoin,2024Fall,2024,Fall,5.0,4.24,4.67,5.0,4.67,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,17
107798,GOV 2032,Capitalism and its Critics 001,GOV,Forrester,2023Spring,2023,Spring,4.0,4.22,4.36,4.36,3.71,5.0,4.64,4.3,4.36,4.73,4.7,4.09,7.45,19
107821,GENED 1120,The Political Economy of Globalization 001,GENED,Summers,2022Fall,2022,Fall,3.8,4.2,3.86,3.64,3.54,4.01,4.07,4.1,3.11,4.23,4.0,3.68,5.17,173
107821,GENED 1120,The Political Economy of Globalization 001,GENED,Lawrence,2022Fall,2022,Fall,3.8,4.2,3.86,3.64,3.54,4.01,4.34,4.18,3.87,4.18,4.24,3.68,5.17,173
107821,GENED 1120,The Political Economy of Globalization 001,GENED,Summers,2023Fall,2023,Fall,3.53,4.21,3.72,3.26,3.41,3.78,3.52,3.34,2.45,3.55,3.31,3.43,4.83,175
107821,GENED 1120,The Political Economy of Globalization 001,GENED,Lawrence,2023Fall,2023,Fall,3.53,4.21,3.72,3.26,3.41,3.78,3.94,3.94,3.3,3.9,3.84,3.43,4.83,175
107843,HBTM 200,Pathology of Human Disease 001,HBTM,Lovitch,2023Spring,2023,Spring,4.73,4.22,4.73,4.4,4.36,4.88,4.93,4.8,4.73,5.0,4.93,4.67,4.23,19
107843,HBTM 200,Pathology of Human Disease 001,HBTM,Mitchell,2024Spring,2024,Spring,4.75,4.25,4.42,4.58,4.58,4.88,4.83,4.91,4.7,4.92,5.0,4.92,5.27,33
107843,HBTM 200,Pathology of Human Disease 001,HBTM,Padera,2024Spring,2024,Spring,4.75,4.25,4.42,4.58,4.58,4.88,4.78,4.88,4.71,4.89,4.89,4.92,5.27,33
107843,HBTM 200,Pathology of Human Disease 001,HBTM,Lehtinen,2025Spring,2025,Spring,4.4,4.26,4.22,3.8,4.0,4.57,4.57,4.57,5.0,4.43,5.0,4.7,2.9,18
107843,HBTM 200,Pathology of Human Disease 001,HBTM,Fleming,2025Spring,2025,Spring,4.4,4.26,4.22,3.8,4.0,4.57,4.67,4.78,4.8,4.67,4.5,4.7,2.9,18
107859,RELIGION 40,Incarnation and Desire 1,RELIGION,Lamberth,2023Fall,2023,Fall,4.86,4.21,4.86,4.71,4.57,0,5.0,5.0,5.0,5.0,5.0,4.71,4.86,10
107880,GENED 1030,The Philosopher and the Tyrant 001,GENED,Damrosch,2023Spring,2023,Spring,3.91,4.22,4.36,3.8,4.14,4.68,4.28,4.04,3.8,4.52,4.39,3.77,4.26,48
107899,PHYSICS 302A,Teaching and Communicating Physics 001S,PHYSICS,Barandes,2023Spring,2023,Spring,4.86,4.22,4.76,4.67,4.67,4.71,4.95,4.91,4.95,4.95,4.95,4.71,2.61,38
107899,PHYSICS 302A,Teaching and Communicating Physics 001S,PHYSICS,Barandes,2024Spring,2024,Spring,4.4,4.25,4.5,4.5,4.63,4.8,4.71,4.5,5.0,4.71,4.4,4.29,1.86,36
107899,PHYSICS 302A,Teaching and Communicating Physics 001S,PHYSICS,Ponti,2024Spring,2024,Spring,4.4,4.25,4.5,4.5,4.63,4.8,5.0,5.0,5.0,5.0,5.0,4.29,1.86,36
107899,PHYSICS 302A,Teaching and Communicating Physics 001S,PHYSICS,Wang-Holtzen,2024Spring,2024,Spring,4.4,4.25,4.5,4.5,4.63,4.8,5.0,5.0,5.0,5.0,4.5,4.29,1.86,36
107899,PHYSICS 302A,Teaching and Communicating Physics 001S,PHYSICS,Milbourne,2024Spring,2024,Spring,4.4,4.25,4.5,4.5,4.63,4.8,4.5,4.33,5.0,4.5,5.0,4.29,1.86,36
107899,PHYSICS 302A,Teaching and Communicating Physics 001S,PHYSICS,Ledbetter,2024Spring,2024,Spring,4.4,4.25,4.5,4.5,4.63,4.8,0,0,0,0,0,4.29,1.86,36
107899,PHYSICS 302A,Teaching and Communicating Physics 001S,PHYSICS,Ponti,2025Spring,2025,Spring,3.44,4.26,3.67,3.62,3.88,4.14,4.18,3.76,4.27,4.24,4.47,3.58,1.75,36
107925,HIST 1911,Pacific History 01,HIST,Armitage,2025Spring,2025,Spring,4.67,4.26,4.44,4.56,4.67,4.4,4.44,4.44,4.67,4.67,4.78,4.56,7.0,14
107972,HIST 89J,The United States and China: Opium War to the Present 01,HIST,Manela,2023Spring,2023,Spring,4.75,4.22,4.88,4.75,4.5,0,4.83,5.0,4.5,4.83,5.0,4.63,5.43,10
107972,HIST 89J,The United States and China: Opium War to the Present 01,HIST,Manela,2024Spring,2024,Spring,4.44,4.25,4.56,4.56,3.44,4.5,4.56,4.67,4.78,4.78,4.63,4.56,5.89,12
107972,HIST 89J,The United States and China: Opium War to the Present 01,HIST,Manela,2025Spring,2025,Spring,4.71,4.26,4.67,4.5,5.0,5.0,4.67,4.6,4.83,4.67,5.0,4.71,5.83,10
107973,HIST 1155,"Early Modern Europe, 1450-1789 01",HIST,Herzog,2023Fall,2023,Fall,3.6,4.21,4.0,4.13,4.2,4.07,4.07,3.87,3.7,3.53,3.92,3.73,3.29,25
107995,ENG-SCI 298R,"Political Economy of the Global Semiconductor Industry: Technology, Markets and Policy 001",ENG-SCI,Yang,2024Spring,2024,Spring,4.0,4.25,4.36,3.36,4.07,4.67,4.38,4.69,4.62,4.92,4.54,4.14,5.33,29
108001,MUSIC 220R,History of Music Theory 001,MUSIC,Clark,2023Spring,2023,Spring,4.83,4.22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.83,4.5,9
108055,HIST 80G,Travelers to Byzantium 01,HIST,Angelov,2024Fall,2024,Fall,4.75,4.24,4.75,4.75,4.13,4.5,4.88,4.88,4.88,4.88,5.0,4.63,5.38,12
108059,HIST 1035,Byzantine Civilization 01,HIST,Angelov,2023Spring,2023,Spring,4.39,4.22,4.25,3.96,4.14,4.15,4.6,4.56,4.55,4.76,4.7,4.25,5.29,43
108059,HIST 1035,Byzantine Civilization 01,HIST,Angelov,2025Spring,2025,Spring,4.73,4.26,4.73,4.8,4.87,4.87,5.0,4.67,4.92,4.92,5.0,4.6,5.27,19
108094,GREEK 110,Plato's Republic 001,GREEK,Driscoll,2023Spring,2023,Spring,4.6,4.22,4.8,4.4,4.0,4.5,4.8,5.0,4.8,4.4,4.8,4.4,6.0,5
108130,ASTRON 209,Exoplanet Systems 001,ASTRON,Johnson,2023Fall,2023,Fall,4.4,4.21,4.2,4.2,4.4,3.0,4.4,4.2,4.8,4.6,4.5,4.2,11.8,7
108137,SOCIOL 3310,Qualifying Paper 001,SOCIOL,Beckfield,2022Fall,2022,Fall,4.33,4.2,4.0,3.83,4.33,0,4.5,4.4,4.2,4.4,4.6,4.5,8.5,9
108167,AFRAMER 120X,African American Theatre SEM,AFRAMER,Carpio,2023Fall,2023,Fall,4.83,4.21,4.71,4.67,4.5,5.0,5.0,5.0,4.86,5.0,5.0,4.71,5.17,12
108167,AFRAMER 120X,African American Theatre SEM,AFRAMER,Bernstein,2023Fall,2023,Fall,4.83,4.21,4.71,4.67,4.5,5.0,5.0,5.0,4.83,5.0,5.0,4.71,5.17,12
108213,SHBT 201,Biology of the Inner Ear 001,SHBT,Liberman,2022Fall,2022,Fall,4.67,4.2,4.67,4.17,4.83,4.83,5.0,5.0,4.83,5.0,5.0,5.0,11.5,6
108213,SHBT 201,Biology of the Inner Ear 001,SHBT,Maison,2022Fall,2022,Fall,4.67,4.2,4.67,4.17,4.83,4.83,4.5,4.5,5.0,4.5,5.0,5.0,11.5,6
108213,SHBT 201,From Sound to Neuron 001,SHBT,Puria,2023Fall,2023,Fall,4.0,4.21,4.11,3.56,4.0,4.33,4.0,3.67,4.89,4.89,4.44,4.5,11.56,9
108213,SHBT 201,From Sound to Neuron 001,SHBT,Puria,2024Fall,2024,Fall,4.5,4.24,4.67,3.67,5.0,4.67,4.83,4.5,4.83,5.0,4.83,4.5,9.0,6
108217,SHBT 202,Clinical Aspects of Speech and Hearing 001,SHBT,Franco,2023Spring,2023,Spring,4.67,4.22,4.2,4.8,4.17,4.75,4.8,5.0,5.0,5.0,5.0,4.67,4.8,7
108217,SHBT 202,Clinical Aspects of Speech and Hearing 001,SHBT,Jung,2023Spring,2023,Spring,4.67,4.22,4.2,4.8,4.17,4.75,5.0,5.0,4.33,5.0,5.0,4.67,4.8,7
108217,SHBT 202,Clinical Aspects of Speech and Hearing 001,SHBT,Franco,2024Spring,2024,Spring,3.38,4.25,3.14,3.5,3.5,5.0,4.5,4.5,3.67,4.75,4.88,3.5,4.0,8
108217,SHBT 202,Clinical Aspects of Speech and Hearing 001,SHBT,Jung,2024Spring,2024,Spring,3.38,4.25,3.14,3.5,3.5,5.0,4.14,4.29,2.8,4.29,4.43,3.5,4.0,8
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,Arenberg,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,4.33,4.0,5.0,4.67,4.67,3.14,8.0,7
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,Goodrich,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,5.0,5.0,5.0,5.0,5.0,3.14,8.0,7
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,Takesian,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,3.8,4.2,4.2,4.4,4.6,3.14,8.0,7
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,Polley,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,4.25,4.5,3.67,4.5,4.0,3.14,8.0,7
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,Ghosh,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,3.0,2.75,4.0,4.0,4.75,3.14,8.0,7
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,Gabrieli,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,4.0,4.0,0,4.5,4.5,3.14,8.0,7
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,McDermott,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,4.25,4.75,5.0,4.75,4.75,3.14,8.0,7
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,Richardson,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,2.5,2.5,0,3.5,2.5,3.14,8.0,7
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,Simonyan,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,4.0,4.0,0,4.0,4.0,3.14,8.0,7
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,Delgutte,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,3.0,3.0,0,3.0,2.67,3.14,8.0,7
108224,SHBT 205,"Audition: Neural Mechanisms, Perception and Cognition 001",SHBT,Heaton,2024Spring,2024,Spring,3.0,4.25,3.0,2.43,3.0,2.0,4.75,4.75,4.5,4.75,4.75,3.14,8.0,7
108229,CHNSLIT 140,The Greatest Chinese Novel 01,CHNSLIT,Li,2023Fall,2023,Fall,4.4,4.21,4.5,4.4,4.33,4.0,4.7,4.8,4.8,4.9,4.5,4.3,7.0,19
108233,KORHIST 115,Korean History Through Film 01,KORHIST,Kim,2025Spring,2025,Spring,4.88,4.26,4.63,4.5,4.5,4.6,4.88,4.5,5.0,4.75,4.75,4.75,5.0,15
108257,FRSEMR 25X,How the Brain Becomes the Mind: A Bottoms-up and Top-Down Perspective 001,FRSEMR,Byrne,2022Fall,2022,Fall,4.55,4.2,4.18,4.5,4.4,4.67,4.64,4.36,4.91,4.73,4.82,4.45,2.45,11
108261,FYSEMR 30G,Digging Egypt's Past: Harvard and Egyptian Archaeology 01,FYSEMR,Manuelian,2023Fall,2023,Fall,4.86,4.21,4.14,4.57,4.71,4.5,5.0,4.71,5.0,5.0,4.86,4.14,2.71,10
108285,GOV 63,Topics and Resources in Political Theory 001,GOV,Rosen,2024Spring,2024,Spring,5.0,4.25,5.0,4.83,4.5,5.0,4.67,4.67,4.83,4.67,4.67,4.33,7.33,9
108285,GOV 63,Political Theory: Methods and Resources 001,GOV,Rosen,2025Spring,2025,Spring,4.1,4.26,4.36,4.18,3.89,4.83,4.45,4.55,4.36,4.73,4.73,3.9,6.6,16
108287,GOV 62,"Research Design, Qualitative, and Mixed Methods 001",GOV,Hagopian,2023Spring,2023,Spring,3.94,4.22,3.85,4.35,4.38,4.1,4.65,4.16,4.75,4.51,4.62,4.1,5.74,68
108287,GOV 62,"Research Design, Qualitative, and Mixed Methods 001",GOV,Soroka,2024Spring,2024,Spring,3.54,4.25,3.88,3.37,3.68,3.73,4.19,4.27,4.38,4.3,4.26,3.51,5.79,57
108287,GOV 62,Research Practice in Qualitative Methods 001,GOV,Hagopian,2025Spring,2025,Spring,4.03,4.26,3.97,4.18,4.56,4.53,4.31,4.28,4.46,4.54,4.24,4.06,7.03,53
108287,GOV 62,Research Practice in Qualitative Methods 001,GOV,Ternullo,2025Spring,2025,Spring,4.03,4.26,3.97,4.18,4.56,4.53,4.57,4.5,4.38,4.63,4.35,4.06,7.03,53
